1	109	482	0	8	1	19	7	63	0	143	0	7	4	119	0	297	70	165	0	18586	16372	23943	4908	5	1072	16502	2484	20	249	0	0	23	1582	10563	2454	2304	1603	138	15	1	277	55	90	50	21	7	0	58	9	69	0	0	15	138	17	48	0	2	0	0	31	6	1740	14	0	4	0	778	1976	1071	408	0	42	182	686	136	1112	0	0	17	52
378	1748	10463	0	4	34	2341	379	223	14	568	1	13	1392	6	297	0	286	6763	0	1659	867	8170	770	3	3117	9224	516	386	2861	1	1	18	8453	1092	4424	800	366	31	0	0	132	32	95	30	1	0	0	4	304	484	0	0	0	7	4	0	0	0	0	4	18	0	5	284	2	75	0	6	11	76	3	0	354	1586	6	1	5	1	0	0	67
21	25	7	1	2	14	60	40	9	28	13094	32	470	135	0	70	286	0	1235	10	155	49	152	20	34	3411	493	21	79	148	33	12	7	2447	516	3103	2097	302	80	5	68	0	19	10	4	0	0	2	0	1	3	0	0	0	4	0	1	0	42	0	240	0	0	11	1	42	12	0	0	7	12	2	4	298	161	6	1	0	87	0	0	5
93	458	102	0	0	10	292	66	18	5	8678	11	77	369	2	165	6763	1235	0	5	305	211	591	76	32	3831	2030	74	180	727	4	2	12	6016	980	2817	1038	309	15	1	2	49	26	41	27	0	0	0	0	96	15	0	0	0	5	0	0	0	10	0	30	2	0	33	87	42	205	0	3	25	36	5	8	1099	1213	4	1	4	21	0	0	38
45	0	1	27363	6	598	5	631	650	3624	80	18064	15	1462	51	0	0	10	5	0	0	0	20	2110	2	17	4	7109	1143	8	1	24	7	434	430	7	191	0	322	87	3	9	0	7	1	13	1	0	1	0	0	62	0	6	35	7	133	47	0	16	0	5	1	0	0	0	0	37	0	0	0	165	0	0	0	268	15	0	0	0	0	9
113	11	1200	3	9	64	3772	508	58	101	361	1	2	569	130	18586	1659	155	305	0	0	2194	42141	2733	0	819	798	10516	346	21393	0	1	124	16494	5477	937	6270	1671	169	14	1	188	13	47	17	14	6	0	36	5	36	1	0	3	90	8	33	1	2	0	0	21	11	465	6	0	0	1	476	580	137	260	2	21	53	507	82	645	0	1	7	40
19	5381	121	0	34	2	31	15	6929	4	66	12	67	54	142	16372	867	49	211	0	2194	0	3359	15061	549	837	13800	557	243	586	7	0	114	905	3001	1351	902	469	435	9	31	136	52	62	36	6	1	1	27	17	43	0	0	4	39	7	9	0	2	1	8	12	2	764	8	1	4	1	203	245	462	132	1	15	400	146	44	404	2	0	1	23
402	409	18004	12	10	259	7865	1567	68	253	368	1	5	2468	101	23943	8170	152	591	20	42141	3359	0	3528	5	4461	23275	6810	275	6288	0	13	22	9555	13971	6992	8907	6510	214	13	1	167	75	77	68	3	0	0	3	140	253	1	0	1	64	9	12	0	1	1	2	17	0	1186	34	0	8	1	116	874	1618	23	0	16	1792	48	7	54	1	1	0	15
204	1023	1759	3684	55	262	3982	549	24098	1364	66	1324	45	819	856	4908	770	20	76	2110	2733	15061	3528	0	169	1334	5569	29865	2629	3888	5	7	1119	2870	9644	602	2584	937	1483	145	11	856	17	487	67	283	114	7	98	0	27	274	1	95	1621	88	1399	336	15	45	7	220	66	73	11	3	2	225	54	193	39	2449	0	31	41	2937	430	604	1	3	53	347
0	4688	0	0	3	1	0	6	189	1	3090	6	11094	7	7	5	3	34	32	2	0	549	5	169	0	2171	11569	2	9	0	1028	4	0	603	187	1054	434	91	31	0	3707	32	247	131	28	4	0	98	0	90	0	0	0	0	0	1	0	1	233	0	2044	3	0	0	4	109	55	1	0	6	0	6	1074	869	939	1	1	0	276	0	0	76
449	2741	14422	4	3	78	2057	840	179	51	7486	47	2199	2390	15	1072	3117	3411	3831	17	819	837	4461	1334	2171	0	31445	498	546	2283	1153	19	46	7188	4941	14038	5695	1308	148	10	78	505	444	637	214	2	2	2	7	528	475	0	0	0	18	2	2	0	677	2	3591	26	0	22	712	1452	1765	1	15	35	55	15	408	8069	9332	9	8	31	1126	3	1	455
